Exam| RRB GROUP - D CBT - I
B| Startup India Seed Fund Scheme (SISFS) / স্টার্টআপ ইন্ডিয়া সিড ফান্ড স্কিম (Startup India Seed Fund Scheme  -  SISFS)
C| Credit Guarantee Scheme for Startups (CGSS) / ক্রেডিট গ্যারান্টি স্কিম ফর স্টার্টআপস (Credit Guarantee Scheme for Startups  -  CGSS)
D| Atmanirbhar Bharat Innovation Fund (ABIF) / আত্মনির্ভর ভারত ইনোভেশন ফান্ড (Atmanirbhar Bharat Innovation Fund  -  ABIF)
Shift|14/12/2025 9:00 AM - 10:30 AM
Correct|A
Difficulty|9.06

Q| The Fit India Movement's premier cycling event, promoting fitness and pollution solutions, was staged at Mumbai's Gateway of India in February 2025, under what name? / ২০২৫ সালের ফেব্রুয়ারিতে ফিট ইন্ডিয়া মুভমেন্টের প্রধান সাইক্লিং ইভেন্টটি, যা ফিটনেস এবং দূষণ সমাধানের প্রচার করে, মুম্বাইয়ের গেটওয়ে অফ ইন্ডিয়াতে কী নামে অনুষ্ঠিত হয়েছিল?
A| Wheels for Wellness / হুইলস ফর ওয়েলনেস (Wheels for Wellness)
B| Cycle for Health / সাইকেল ফর হেলথ (Cycle for Health)
C| Sundays on Cycle / সানডেজ অন সাইকেল (Sundays on Cycle)
D| Fit India Cycling Marathon / ফিট ইন্ডিয়া সাইক্লিং ম্যারাথন (Fit India Cycling Marathon)
Shift|26/12/2025 12:45 PM - 2:15 PM
Correct|C
Difficulty|6.97

Q| The Andhra Pradesh government rejected Telangana's demand for a 50:50 share of Krishna river water in January 2025. Currently, what is the water sharing ratio between Andhra Pradesh and Telangana? / অন্ধ্রপ্রদেশ সরকার ২০২৫ সালের জানুয়ারিতে কৃষ্ণা নদীর জলের ৫০:৫০ ভাগের তেলেঙ্গানার দাবি প্রত্যাখ্যান করেছে। বর্তমানে অন্ধ্রপ্রদেশ ও তেলেঙ্গানার মধ্যে জল বণ্টনের অনুপাত কত?
A| 55:45 / ৫৫:৪৫
B| 70:30 / ৭০:৩০
C| 60:40 / ৬০:৪০
D| 66:34 / ৬৬:৩৪
Shift|08/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|5.27

Q| Which of the following institutions co - organised 'the Belém Health Action Plan' event with the WHO and other UN partners at COP30 in November 2025? / নিচের কোন প্রতিষ্ঠানটি ২০২৫ সালের নভেম্বরে COP30 - এ WHO এবং অন্যান্য UN অংশীদারদের সাথে 'বেলেম হেলথ অ্যাকশন প্ল্যান' (the Belém Health Action Plan) ইভেন্টটি সহ - আয়োজন করেছিল?
A| Global Institute of Public Health (GIPH) / গ্লোবাল ইনস্টিটিউট অফ পাবলিক হেলথ (Global Institute of Public Health  -  GIPH)
B| National Institutes of Health (NIH) / ন্যাশনাল ইনস্টিটিউট অফ হেলথ (National Institutes of Health  -  NIH)
C| United Nations University (UNU) / ইউনাইটেড নেশনস ইউনিভার্সিটি (United Nations University  -  UNU)
D| World Trade Institute (WTI) / ওয়ার্ল্ড ট্রেড ইনস্টিটিউট (World Trade Institute  -  WTI)
Shift|26/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|9.10

Q| In February 2025, who broke the world indoor 800 m American record with a time of 1:43.90 at Millrose? / ২০২৫ সালের ফেব্রুয়ারিতে, মিলরোসে ১:৪৩.৯০ সময়ে পুরুষদের ইনডোর ৮00 মিটার আমেরিকান রেকর্ড কে ভেঙেছেন?
A| Bryce Hoppel / ব্রাইস হোপেল (Bryce Hoppel)
B| Will Sumner / উইল সামনার (Will Sumner)
C| Cooper Lutkenhaus / কুপার লুটকেনহাউস (Cooper Lutkenhaus)
D| Josh Hoey / জশ হোয়াই (Josh Hoey)
Shift|09/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|9.98

Q| Which first - time MP from Thane was named a Sansad Ratna Award recipient in 2025? / থানে থেকে কোন প্রথমবার নির্বাচিত সংসদ সদস্যকে (MP) ২০২৫ সালে সংসদ রত্ন পুরস্কারের প্রাপক হিসেবে মনোনীত করা হয়েছিল?
A| Rahul Shewale / রাহুল শেওয়ালে (Rahul Shewale)
B| Naresh Mhaske / নরেশ মাস্কে (Naresh Mhaske)
C| Dr. Varsha Gaikwad / ডঃ বর্ষা গায়কওয়াড় (Dr. Varsha Gaikwad)
D| Arvind Sawant / অরবিন্দ সাওয়ান্ত (Arvind Sawant)
Shift|08/01/2026 9:00 AM - 10:30 AM
Correct|B
Difficulty|9.65

Q| On 5 - 6 February 2025, the national executive council meetings of FICCI and CII converged at BGBS in which city? / ২০২৫ সালের ৫ - ৬ ফেব্রুয়ারি, FICCI এবং CII - এর জাতীয় কার্যনির্বাহী পরিষদের বৈঠক কোন শহরের BGBS - এ মিলিত হয়েছিল?
A| Raipur / রায়পুর (Raipur)
B| Kolkata / কলকাতা (Kolkata)
C| New Delhi / নয়াদিল্লি (New Delhi)
D| Surat / সুরাট (Surat)
Shift|19/12/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|7.42

Q| As per the Sustainable Development Goals National Indicator Framework Progress Report, 2025, published in June 2025, what percentage of the rural population used improved sources of drinking water during the year 2024 - 2025? / জুন ২০২৫ সালে প্রকাশিত টেকসই উন্নয়ন লক্ষ্যমাত্রা জাতীয় সূচক কাঠামো অগ্রগতি প্রতিবেদন, ২০২৫ অনুসারে, ২০২৪ - ২০২৫ সালের মধ্যে গ্রামীণ জনসংখ্যার কত শতাংশ উন্নত পানীয় জলের উৎস ব্যবহার করেছে?
A| 97.80% / ৯৭.৮০%
B| 99.62% / ৯৯.৬২%
C| 98.25% / ৯৮.2৫%
D| 95.45% / ৯৫.৪৫%
Shift|08/01/2026 4:30 PM - 6:00 PM
Correct|B
Difficulty|5.38

Q| Which of the following organisations partnered with Vivifi Finance in December 2024 to provide loans to gig workers? / গিগ শ্রমিকদের (gig workers) ঋণ প্রদানের জন্য ২০২৪ সালের ডিসেম্বরে নিচের কোন সংস্থাটি ভিভিফি ফাইন্যান্সের (Vivifi Finance) সাথে অংশীদারিত্ব করেছে?
A| National Payments Corporation of India (NPCI) / ন্যাশনাল পেমেন্টস কর্পোরেশন অফ ইন্ডিয়া (National Payments Corporation of India  -  NPCI)
B| Reserve Bank Innovation Hub (RBIH) / রিজার্ভ ব্যাংক ইনোভেশন হাব (Reserve Bank Innovation Hub  -  RBIH)
C| Indian Banks' Association (IBA) / ইন্ডিয়ান ব্যাংকস অ্যাসোসিয়েশন (Indian Banks' Association  -  IBA)
D| Small Industries Development Bank of India (SIDBI) / স্মল ইন্ডাস্ট্রিজ ডেভেলপমেন্ট ব্যাংক অফ ইন্ডিয়া (Small Industries Development Bank of India  -  SIDBI)
Shift|17/12/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|6.36

Q| As per the Commission for Air Quality Management (CAQM) - revised Graded Response Action Plan (GRAP) for the entire NCR in November 2025, which measure was advanced from Stage II to Stage I? / ২০২৫ সালের নভেম্বরে সমগ্র NCR - এর জন্য বায়ুর গুণমান ব্যবস্থাপনা কমিশন (CAQM) দ্বারা সংশোধিত গ্রেডেড রেসপন্স অ্যাকশন প্ল্যান (GRAP) অনুসারে, কোন পদক্ষেপটি স্টেজ II থেকে স্টেজ I - এ এগিয়ে আনা হয়েছিল?
A| Staggering timings for public offices in Delhi and key NCR districts / দিল্লি এবং প্রধান NCR জেলাগুলোতে সরকারি অফিসের সময় পরিবর্তন করা
B| Allowing offices to work on 50% strength and the rest from home / অফিসগুলোকে ৫০% শক্তিতে কাজ করার অনুমতি দেওয়া এবং বাকিদের বাড়ি থেকে কাজ করার সুবিধা দেওয়া
C| Ensuring uninterrupted power supply to discourage use of DG sets / ডিজেল জেনারেটর সেটের ব্যবহার নিরুৎসাহিত করতে নিরবচ্ছিন্ন বিদ্যুৎ সরবরাহ নিশ্চিত করা
D| Complete ban on all construction activities across NCR / সমগ্র NCR জুড়ে সমস্ত নির্মাণ কার্যক্রমের ওপর সম্পূর্ণ নিষেধাজ্ঞা জারি করা
Shift|26/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|6.71

Q| The Reserve Bank of India launched the PRAVAAH portal with effect from / ভারতীয় রিজার্ভ ব্যাংক কোন তারিখ থেকে 'প্রবাহ' (PRAVAAH) পোর্টাল চালু করেছে?
A| 1 June 2025 / ১ জুন ২০২৫
B| 1 April 2025 / ১ এপ্রিল ২০২৫
C| 1 July 2025 / ১ জুলাই ২০২৫
D| 1 May 2025 / ১ মে ২০২৫
Shift|08/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|6.94

Q| According to the the Sustainable Development Report 2025, what is the percentage of the population with access to electricity in India? / টেকসই উন্নয়ন প্রতিবেদন ২০২৫ অনুসারে, ভারতে বিদ্যুৎ ব্যবহারের সুবিধা থাকা জনসংখ্যার শতাংশ কত?
A| 97.3% / ৯৭.৩%
B| 99.2% / ৯৯.২%
C| 89.8% / ৮৯.৮%
D| 95.8% / ৯৫.৮%
Shift|10/12/2025 12:45 PM - 2:15 PM
Correct|B
Difficulty|5.29

Q| Which of the following female runners won the women's race in the Paris Marathon 2025? / নিচের কোন মহিলা রানার ২০২৫ সালের প্যারিস ম্যারাথনে মহিলাদের রেসে জয়ী হয়েছেন?
A| Bedatu Hirpa / বেদাতু হিরপা (Bedatu Hirpa)
B| Dera Dida / ডেরা ডিডা (Dera Dida)
C| Angela Tanui / অ্যাঞ্জেলা তানুয়ি (Angela Tanui)
D| Letesenbet Gidey / লেটেসেনবেত গিডি (Letesenbet Gidey)
Shift|02/12/2025 9:00 AM - 10:30 AM
Correct|A
Difficulty|9.84

Q| In which of the following months was the grand finale and prize distribution ceremony of the Defence Innovation Challenge for Excellence (DICE - 2024) organised during Aero India 2025 in Bengaluru by the Marathwada Accelerator for Growth and Incubation Council (MAGIC)? / মারাঠাওয়াড়া অ্যাক্সিলারেটর ফর গ্রোথ অ্যান্ড ইনকিউবেশন কাউন্সিল (MAGIC) দ্বারা বেঙ্গালুরুতে অ্যারো ইন্ডিয়া ২০২৫ চলাকালীন কোন মাসে ডিফেন্স ইনোভেশন চ্যালেঞ্জ ফর এক্সেলেন্স (DICE - 2024) - এর গ্র্যান্ড ফিনালে এবং পুরস্কার বিতরণী অনুষ্ঠানের আয়োজন করা হয়েছিল?
A| February 2025 / ফেব্রুয়ারি ২০২৫
B| June 2025 / জুন ২০২৫
C| April 2025 / এপ্রিল ২০২৫
D| March 2025 / মার্চ ২০২৫
Shift|01/12/2025 4:30 PM - 6:00 PM
Correct|A
Difficulty|7.84

Q| The Reserve Bank of India revised Priority Sector Lending (PSL) guidelines for Small Finance Banks from FY 2025 - 26, reducing the PSL target to what percentage of ANBC (adjusted net bank credit) or Credit Equivalent of Off - Balance Sheet Exposures (CEOBE)? / ভারতীয় রিজার্ভ ব্যাংক FY 2025 - 26 থেকে স্মল ফাইন্যান্স ব্যাংকগুলোর জন্য প্রায়োরিটি সেক্টর লেন্ডিং (PSL) নির্দেশিকা সংশোধন করেছে, যা ANBC বা CEOBE - এর কত শতাংশে পিএসএল লক্ষ্যমাত্রা হ্রাস করেছে?
A| 60% / ৬০%
B| 30% / ৩০%
C| 40% / ৪০%
D| 50% / ৫০%
Shift|24/12/2025 9:00 AM - 10:30 AM
Correct|A
Difficulty|8.42

Q| In 2025, Uttar Pradesh and which other state hosted the Defence Industrial Corridor that together have attracted investments worth over ₹8,658 crore? / ২০২৫ সালে, উত্তর প্রদেশ এবং অন্য কোন রাজ্য ডিফেন্স ইন্ডাস্ট্রিয়াল করিডোর হোস্ট করেছে যা একসাথে ৮,৬৫৮ কোটি টাকারও বেশি বিনিয়োগ আকর্ষণ করেছে?
A| Karnataka / কর্ণাটক (Karnataka)
B| Gujarat / গুজরাট (Gujarat)
C| Tamil Nadu / তামিলনাড়ু (Tamil Nadu)
D| Maharashtra / মহারাষ্ট্র (Maharashtra)
Shift|30/12/2025 12:45 PM - 2:15 PM
Correct|C
Difficulty|5.64

Q| Which seat did Congress win in the Kerala by - elections in June 2025? / ২০২৫ সালের জুনে কেরল উপনির্বাচনে কংগ্রেস কোন আসনে জয়লাভ করেছিল?
A| Nilambur / নিলাম্বুর​ (Nilambur)
B| Kottayam / কোট্টায়াম (Kottayam)
C| Wayanad / ওয়ায়ানাড় (Wayanad)
D| Ernakulam / এরনাকুলাম (Ernakulam)
Shift|09/02/2026 4:30 PM - 6:00 PM
Correct|A
Difficulty|8.70

Q| By what percentage did the All - India House Price Index increased annually in Q4 FY25, with Kolkata recording the highest price growth and Kochi witnessing a decline? / Q4 FY25 - এ অল - ইন্ডিয়া হাউস প্রাইস ইনডেক্স বার্ষিকভাবে কত শতাংশ বৃদ্ধি পেয়েছে, যেখানে কলকাতা সর্বোচ্চ মূল্য বৃদ্ধি রেকর্ড করেছে এবং কোচি হ্রাস পেয়েছে?
A| 4.1% / ৪.১%
B| 5.1% / ৫.১%
C| 6.1% / ৬.১%
D| 3.1% / ৩.১%
Shift|23/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|7.75

Q| As part of Tripura's tech - driven disaster preparedness initiative launched in August 2025, how many automated weather stations and rain gauges are proposed to be installed? / ২০২৫ সালের আগস্টে চালু হওয়া ত্রিপুরার প্রযুক্তি - চালিত দুর্যোগ প্রস্তুতি উদ্যোগের অংশ হিসেবে, কতটি স্বয়ংক্রিয় আবহাওয়া কেন্দ্র এবং বৃষ্টির পরিমাপক যন্ত্র স্থাপনের প্রস্তাব করা হয়েছে?
A| 14 / ১৪
B| 10 / ১০
C| 15 / ১৫
D| 26 / ২৬
Shift|03/02/2026 12:45 PM - 2:15 PM
Correct|D
Difficulty|6.68

Q| In which city was the 15 th edition of the Hockey India Senior Men National Championship 2025 conducted? / হকি ইন্ডিয়া সিনিয়র পুরুষ জাতীয় চ্যাম্পিয়নশিপ ২০২৫ - এর ১৫ তম সংস্করণ কোন শহরে পরিচালিত হয়েছিল?
A| Bhopal / ভোপাল (Bhopal)
B| Jhansi / ঝাঁসি (Jhansi)
C| Ranchi / রাঁচি (Ranchi)
D| Lucknow / লখনউ (Lucknow)
Shift|05/02/2026 4:30 PM - 6:00 PM
Correct|B
Difficulty|9.08

Q| Prof. Syed Wajih Ahmad Naqvi, an outstanding Biogeochemical Oceanographer with national and international recognition, received the 2024 Rashtriya Vigyan Puraskar in which of the following categories? / জাতীয় ও আন্তর্জাতিক স্বীকৃতিসম্পন্ন একজন অসামান্য বায়োজিওকেমিক্যাল সমুদ্রবিজ্ঞানী অধ্যাপক সৈয়দ ওয়াজিল আহমেদ নকভি নিচের কোন বিভাগে ২০২৪ সালের রাষ্ট্রীয় বিজ্ঞান পুরস্কার পেয়েছেন?
A| Vigyan Shri (VS) Award / বিজ্ঞান শ্রী (Vigyan Shri  -  VS) পুরস্কার
B| Vigyan Ratna (VR) Award / বিজ্ঞান রত্ন (Vigyan Ratna  -  VR) পুরস্কার
C| Vigyan Yuva - Shanti Swarup Bhatnagar (VY - SSB) Award / বিজ্ঞান যুব - শান্তি স্বরূপ ভটনাগর (Vigyan Yuva - Shanti Swarup Bhatnagar  -  VY - SSB) পুরস্কার
D| Vigyan Team (VT) Award / বিজ্ঞান টিম (Vigyan Team  -  VT) পুরস্কার
Shift|09/01/2026 12:45 PM - 2:15 PM
Correct|A
Difficulty|6.02

Q| In which of the following places was the regional workshop on 'Sangathan, Swasthya, Samriddhi: Women Collective's Action on Food, Nutrition, Health and Water, Sanitation and Hygiene,' held from 22 nd to 23 rd July 2025? / ২০২৫ সালের ২২ থেকে ২৩ জুলাই পর্যন্ত কোন স্থানে 'সংগঠন, স্বাস্থ্য, সমৃদ্ধি: খাদ্য, পুষ্টি, স্বাস্থ্য এবং জল, স্যানিটেশন ও হাইজিনের ওপর মহিলা যৌথ কর্ম' শীর্ষক আঞ্চলিক কর্মশালা অনুষ্ঠিত হয়েছিল?
A| Ranchi, Jharkhand / রাঁচি, ঝাড়খণ্ড (Ranchi, Jharkhand)
B| Lucknow, Uttar Pradesh / লখনউ, উত্তর প্রদেশ (Lucknow, Uttar Pradesh)
C| Bhopal, Madhya Pradesh / ভোপাল, মধ্যপ্রদেশ (Bhopal, Madhya Pradesh)
D| Patna, Bihar / পাটনা, বিহার (Patna, Bihar)
Shift|16/12/2025 4:30 PM - 6:00 PM
Correct|A
Difficulty|8.44

Q| The Supreme Court declared in October 2025 that the principle of public trust extends to artificial lakes this ruling affirmed the directive of which of the following High Court benches? / সুপ্রিম কোর্ট ২০২৫ সালের অক্টোবরে ঘোষণা করেছে যে পাবলিক ট্রাস্টের নীতি কৃত্রিম হ্রদের ক্ষেত্রেও প্রযোজ্য; এই রায় নিচের কোন হাইকোর্ট বেঞ্চের নির্দেশকে নিশ্চিত করেছে?
A| Jaipur Bench of the Rajasthan High Court / রাজস্থান হাইকোর্টের জয়পুর বেঞ্চ (Jaipur Bench of the Rajasthan High Court)
B| Lucknow Bench of the Allahabad High Court / এলাহাবাদ হাইকোর্টের লখনউ বেঞ্চ (Lucknow Bench of the Allahabad High Court)
C| Nagpur Bench of the Bombay High Court / বোম্বে হাইকোর্টের নাগপুর বেঞ্চ (Nagpur Bench of the Bombay High Court)
D| Madurai Bench of the Madras High Court / মাদ্রাজ হাইকোর্টের মাদুরাই বেঞ্চ (Madurai Bench of the Madras High Court)
Shift|09/01/2026 12:45 PM - 2:15 PM
Correct|C
Difficulty|9.91

Q| In May 2025, the Reserve Bank of India (RBI) approved the renaming of the North East Small Finance Bank to / ২০২৫ সালের মে মাসে, ভারতীয় রিজার্ভ ব্যাংক (RBI) নর্থ ইস্ট স্মল ফাইন্যান্স ব্যাংক - এর নাম পরিবর্তন করে কী রাখার অনুমোদন দিয়েছে?
A| Synergy Small Finance Bank Limited / সিনার্জি স্মল ফাইন্যান্স ব্যাংক লিমিটেড (Synergy Small Finance Bank Limited)
B| North East Regional Finance Bank Limited / নর্থ ইস্ট রিজিওনাল ফাইন্যান্স ব্যাংক লিমিটেড (North East Regional Finance Bank Limited)
C| Slice Small Finance Bank Limited / স্লাইস স্মল ফাইন্যান্স ব্যাংক লিমিটেড (Slice Small Finance Bank Limited)
D| Northeast Micro Finance Bank Limited / নর্থইস্ট মাইক্রো ফাইন্যান্স ব্যাংক লিমিটেড (Northeast Micro Finance Bank Limited)
Shift|26/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|9.37

Q| Which NFL player won the BET Sportsman of the Year Award 2025? / কোন NFL খেলোয়াড় BET স্পোর্টসম্যান অফ দ্য ইয়ার অ্যাওয়ার্ড ২০২৫ জিতেছেন?
A| Josh Allen / জশ অ্যালেন (Josh Allen)
B| Patrick Mahomes / প্যাট্রিক মাহোমস (Patrick Mahomes)
C| Lamar Jackson / লামার জ্যাকসন (Lamar Jackson)
D| Jalen Hurts / জ্যালেন হার্টস (Jalen Hurts)
Shift|03/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|8.23

Q| Why was Acko General Insurance fined ₹1 crore by the Insurance Regulatory and Development Authority of India (IRDAI) in May 2025? / ২০২৫ সালের মে মাসে ইন্স্যুরেন্স রেগুলেটরি অ্যান্ড ডেভেলপমেন্ট অথরিটি অফ ইন্ডিয়া (IRDAI) কেন অ্যাকো জেনারেল ইন্স্যুরেন্সকে ₹১ কোটি জরিমানা করেছে?
A| Denial of health insurance claims / স্বাস্থ্য বীমা দাবি প্রত্যাখ্যানের জন্য
B| Failure to meet solvency ratios / সলভেন্সি অনুপাত পূরণে ব্যর্থতার জন্য
C| Mis - selling of ULIPS / ইউলিপ (ULIPS) ভুলভাবে বিক্রি করার জন্য
D| Payments to an unregistered intermediary / একজন অনিবন্ধিত মধ্যস্থতাকারীকে অর্থ প্রদানের জন্য
Shift|21/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|6.79

Q| Which tennis veteran became the first Asian male with 450 career wins by April 2025? / কোন অভিজ্ঞ টেনিস খেলোয়াড় ২০২৫ সালের এপ্রিলের মধ্যে ৪৫০টি কেরিয়ার জয়লাভকারী প্রথম এশিয়ান পুরুষ হয়েছেন?
A| Yuki Bhambri / ইউকি ভাম্ব্রি (Yuki Bhambri)
B| Somdev Devvarman / সোমদেব দেববর্মন (Somdev Devvarman)
C| Prajnesh Gunneswaran / প্রজ্ঞেশ গুনেশ্বরন (Prajnesh Gunneswaran)
D| Kei Nishikori / কেই নিশিকোরি (Kei Nishikori)
Shift|23/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|5.52

Q| As notified in February 2025, which of the following companies introduced India's first Air Quality Index - based parametric insurance for construction workers in the Delhi - National Capital Region? / ২০২৫ সালের ফেব্রুয়ারির বিজ্ঞপ্তি অনুযায়ী, নিচের কোন কোম্পানি দিল্লি - জাতীয় রাজধানী অঞ্চলে নির্মাণ শ্রমিকদের জন্য ভারতের প্রথম এয়ার কোয়ালিটি ইনডেক্স - ভিত্তিক প্যারামেট্রিক বীমা চালু করেছে?
A| Tata AIG General Insurance / টাটা এআইজি জেনারেল ইন্স্যুরেন্স (Tata AIG General Insurance)
B| Go Digit General Insurance Limited / গো ডিজিট জেনারেল ইন্স্যুরেন্স লিমিটেড (Go Digit General Insurance Limited)
C| National Insurance Company Limited / ন্যাশনাল ইন্স্যুরেন্স কোম্পানি লিমিটেড (National Insurance Company Limited)
D| Star Health and Allied Insurance / স্টার হেলথ অ্যান্ড অ্যালাইড ইন্স্যুরেন্স (Star Health and Allied Insurance)
Shift|02/02/2026 9:00 AM - 10:30 AM
Correct|B
Difficulty|7.62

Q| In which state did the Defence Research and Development Organisation (DRDO) successfully test its indigenous Stratospheric Airship Platform on 3 May 2025? / কোন রাজ্যে ডিফেন্স রিসার্চ অ্যান্ড ডেভেলপমেন্ট অর্গানাইজেশন (DRDO) ২০২৫ সালের ৩ মে সফলভাবে তার নিজস্ব স্ট্র্যাটোস্ফিয়ারিক এয়ারশিপ প্ল্যাটফর্ম পরীক্ষা করেছে?
A| Gujarat / গুজরাট (Gujarat)
B| Rajasthan / রাজস্থান (Rajasthan)
C| Madhya Pradesh / মধ্যপ্রদেশ (Madhya Pradesh)
D| Andhra Pradesh / অন্ধ্রপ্রদেশ (Andhra Pradesh)
Shift|01/12/2025 4:30 PM - 6:00 PM
Correct|C
Difficulty|5.02

Q| Under the proposed Constitution (131st Amendment) Bill 2025, which seeks to include Chandigarh under Article 240, the Union Territory will be aligned with which category of regions? / প্রস্তাবিত সংবিধান (১৩১ তম সংশোধনী) বিল ২০২৫ - এর অধীনে, যা চণ্ডীগড়কে ২৪০ অনুচ্ছেদের অন্তর্ভুক্ত করতে চায়, এই কেন্দ্রশাসিত অঞ্চলটিকে কোন শ্রেণীর অঞ্চলের সাথে যুক্ত করা হবে?
A| Union Territories without legislatures / আইনসভা বিহীন কেন্দ্রশাসিত অঞ্চল (Union Territories without legislatures)
B| Union Territories with legislatures / আইনসভা যুক্ত কেন্দ্রশাসিত অঞ্চল (Union Territories with legislatures)
C| Union Territories with partial state powers / আংশিক রাষ্ট্রীয় ক্ষমতাসম্পন্ন কেন্দ্রশাসিত অঞ্চল (Union Territories with partial state powers)
D| Union Territories governed under special provisions / বিশেষ বিধানের অধীনে শাসিত কেন্দ্রশাসিত অঞ্চল (Union Territories governed under special provisions)
Shift|09/01/2026 12:45 PM - 2:15 PM
Correct|A
Difficulty|6.62

Q| What is the purpose of the new Global Innovation Hub 'District I' launched in Bengaluru Airport City? / বেঙ্গালুরু এয়ারপোর্ট সিটিতে চালু হওয়া নতুন গ্লোবাল ইনোভেশন হাব 'ডিস্ট্রিক্ট আই' (District I) - এর উদ্দেশ্য কী?
A| Deep - tech entrepreneurship and Al innovation / ডিপ - টেক উদ্যোক্তা এবং এআই উদ্ভাবন (Deep - tech entrepreneurship and AI innovation)
B| Space mission and control Centre / মহাকাশ মিশন এবং নিয়ন্ত্রণ কেন্দ্র (Space mission and control Centre)
C| Military Drone Development / সামরিক ড্রোন উন্নয়ন (Military Drone Development)
D| Retail and e - commerce incubation / খুচরা ও ই - কমার্স ইনকিউবেশন (Retail and e - commerce incubation)
Shift|05/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|5.40

Q| Which of the following missile systems did India test within a 24 - hour window in July 2025, showcasing strategic deterrence capabilities? / কৌশলগত প্রতিরোধ ক্ষমতা প্রদর্শনের অংশ হিসেবে ভারত ২০২৫ সালের জুলাই মাসে ২৪ ঘণ্টার ব্যবধানে নিচের কোন ক্ষেপণাস্ত্র ব্যবস্থার পরীক্ষা চালিয়েছিল?
A| Prithvi - II, Agni - I / পৃথ্বী - II, অগ্নি - I (Prithvi - II, Agni - I)
B| Agni - V, BrahMos / অগ্নি - V, ব্রহ্মোস (Agni - V, BrahMos)
C| IDEX innovation / আইডিইএক্স ইনোভেশন (iDEX innovation)
D| Agni - ll, Astra, Shaurya / অগ্নি - II, অস্ত্র, শৌর্য (Agni - II, Astra, Shaurya)
Shift|21/12/2025 9:00 AM - 10:30 AM
Correct|A
Difficulty|5.75

Q| Which fungal pathogen has been found to use chromosome alterations to resist common antifungal drugs like fluconazole and voriconazole? / ফ্লুকোনাজোল এবং ভরিলোনাজোলের মতো সাধারণ অ্যান্টিফাঙ্গাল ওষুধের প্রতিরোধ করতে কোন ছত্রাক প্যাথোজেন ক্রোমোজোম পরিবর্তন ব্যবহার করে বলে প্রমাণিত হয়েছে?
A| Cryptococcus neoformans / ক্রিপ্টোকক্কাস নিওফরম্যানস (Cryptococcus neoformans)
B| Candida tropicalis / ক্যান্ডিডা ট্রপিকালিস (Candida tropicalis)
C| Candida albicans / ক্যান্ডিডা অ্যালবিকানস (Candida albicans)
D| Aspergillus fumigatus / অ্যাসপারগিলাস ফিউমিগাটাস (Aspergillus fumigatus)
Shift|23/12/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|7.88

Q| In which of the following states was the Skill Development Centre inaugurated under the 'Pradhan Mantri Jan Vikas Karyakram' scheme in July 2025? / ২০২৫ সালের জুলাই মাসে 'প্রধানমন্ত্রী জন বিকাশ কার্যক্রম' প্রকল্পের অধীনে কোন রাজ্যে স্কিল ডেভেলপমেন্ট সেন্টার উদ্বোধন করা হয়েছিল?
A| Gujarat / গুজরাট (Gujarat)
B| Kerala / কেরল (Kerala)
C| Maharashtra / মহারাষ্ট্র (Maharashtra)
D| Punjab / পাঞ্জাব (Punjab)
Shift|29/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|8.16

Q| Who became the sixth male golfer in history to complete a career Grand Slam by winning the 2025 Masters Tournament? / ২০২৫ সালের মাস্টার্স টুর্নামেন্ট জিতে ইতিহাসের ষষ্ঠ পুরুষ গলফার হিসেবে কে ক্যারিয়ার গ্র্যান্ড স্ল্যাম সম্পন্ন করেছেন?
A| Phil Mickelson / ফিল মিকেলসন (Phil Mickelson)
B| Tiger Woods / টাইগার উডস (Tiger Woods)
C| Jordan Spieth / জর্ডান স্পিথ (Jordan Spieth)
D| Rory Mcllroy / ররি ম্যাকইলরয় (Rory McIlroy)
Shift|06/02/2026 9:00 AM - 10:30 AM
Correct|D
Difficulty|9.25

Q| Which polo team made history in 2025 by sweeping all major awards for the fourth consecutive year at the Indian Polo Awards held in Jaipur? / জয়পুরে অনুষ্ঠিত ইন্ডিয়ান পোলো অ্যাওয়ার্ডস - এ কোন পোলো দল ২০২৫ সালে টানা চতুর্থ বছরের মতো সমস্ত প্রধান পুরস্কার জিতে ইতিহাস তৈরি করেছে?
A| Jaipur Warriors / জয়পুর ওয়ারিয়র্স (Jaipur Warriors)
B| Desert Stallions / ডেজার্ট স্ট্যালিয়নস (Desert Stallions)
C| Achievers / অ্যাচিভার্স (Achievers)
D| Royal Riders / রয়্যাল রাইডার্স (Royal Riders)
