Exam| RRB GROUP-D CBT-I
QBN| ২০২৫ সালের জুনে আরবিআই-এর রেপো রেট কমিয়ে কত করা হয়েছিল?
Common| 
Image| 
A| 6.00% / ৬.০০%
B| 5.25% / ৫.২৫%
C| 5.50% / ৫.৫০%
D| 5.75% / ৫.৭৫%
Shift| 05/02/2026 4:30 PM - 6:00 PM
Correct| C
Difficulty| 7.49
Topic| 
SubTopic| 
QuestionID| GACA-000936

QEN| What was the theme of the RBI’s Financial Literacy Week (FLW) 2025?
QBN| আরবিআই (RBI)-এর ফাইন্যান্সিয়াল লিটারেসি উইক (FLW) ২০২৫-এর থিম বা প্রতিপাদ্য কী ছিল?
Common| 
Image| 
A| Financial Literacy: Women’s Prosperity / ফাইন্যান্সিয়াল লিটারেসি: উইমেনস প্রসপারিটি (Financial Literacy: Women’s Prosperity)
B| Financial Inclusion: India’s Growth / ফাইন্যান্সিয়াল ইনক্লুশন: ইন্ডিয়াজ গ্রোথ (Financial Inclusion: India’s Growth)
C| Women and Financial Technology / উইমেন অ্যান্ড ফাইন্যান্সিয়াল টেকনোলজি (Women and Financial Technology)
D| Digital Finance for All / ডিজিটাল ফাইন্যান্স ফর অল (Digital Finance for All)
Shift| 27/11/2025 12:45 PM - 2:15 PM
Correct| A
Difficulty| 8.73
Topic| 
SubTopic| 
QuestionID| GACA-000937

QEN| On 16 July 2025, India achieved a major milestone by successfully destroying two aerial high-speed unmanned targets at high altitude in Ladakh using the upgraded variant of the Akash Weapon System for the Indian Army called ______.
QBN| ১৬ জুলাই ২০২৫ তারিখে, ভারতীয় সেনাবাহিনী 'আকাশ ওয়েপন সিস্টেম'-এর আপগ্রেডেড সংস্করণ ব্যবহার করে লাদাখে উচ্চ উচ্চতায় দুটি আকাশজাত উচ্চগতির ড্রোন লক্ষ্যবস্তু ধ্বংস করে একটি বড় মাইলফলক অর্জন করেছে, যার নাম—
Common| 
Image| 
A| Akash Prime / আকাশ প্রাইম (Akash Prime)
B| BrahMos / ব্রহ্মোস (BrahMos)
C| Akash Advanced / আকাশ অ্যাডভান্সড (Akash Advanced)
D| Pinaka / পিনাকা (Pinaka)
Shift| 28/11/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 7.79
Topic| 
SubTopic| 
QuestionID| GACA-000938

QEN| Which of the following insurance companies announced the adoption of the revised GST structure on all insurance products from 22 September 2025?
QBN| ২২ সেপ্টেম্বর ২০২৫ থেকে সমস্ত বীমা পণ্যের ওপর সংশোধিত জিএসটি (GST) কাঠামো গ্রহণের ঘোষণা দিয়েছে নিচের কোন বীমা কোম্পানি?
Common| 
Image| 
A| ICICI Prudential Life Insurance Co. Ltd. / আই.সি.আই.সি.আই. প্রুডেন্সিয়াল লাইফ ইন্স্যুরেন্স কোং লিমিটেড (ICICI Prudential Life Insurance Co. Ltd.)
B| HDFC Life Insurance Co. Ltd. / এইচ.ডি.এফ.সি. লাইফ ইন্স্যুরেন্স কোং লিমিটেড (HDFC Life Insurance Co. Ltd.)
C| Sahara India Life Insurance Co. Ltd. / সাহারা ইন্ডিয়া লাইফ ইন্স্যুরেন্স কোং লিমিটেড (Sahara India Life Insurance Co. Ltd.)
D| Kotak Life Insurance Co. Ltd. / কোটাক লাইফ ইন্স্যুরেন্স কোং লিমিটেড (Kotak Life Insurance Co. Ltd.)
Shift| 28/11/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 8.88
Topic| 
SubTopic| 
QuestionID| GACA-000939

QEN| According to the World Bank’s Spring 2025 Poverty and Equity Brief, what was India’s extreme poverty rate in 2022-2023?
QBN| বিশ্বব্যাংকের স্প্রিং ২০২৫ পোভার্টি অ্যান্ড ইক্যুইটি ব্রিফ অনুসারে, ২০২২-২০২৩ সালে ভারতের চরম দারিদ্র্যের হার কত ছিল?
Common| 
Image| 
A| 1.5% / ১.৫%
B| 1.3% / ১.৩%
C| 2.3% / ২.৩%
D| 3.2% / ৩.২%
Shift| 19/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 7.60
Topic| 
SubTopic| 
QuestionID| GACA-000940

QEN| Which Pakistani female cricketer was inducted into the ICC Hall of Fame in June 2025?
QBN| ২০২৫ সালের জুনে কোন পাকিস্তানি মহিলা ক্রিকেটারকে আইসিসি হল অফ ফেমে অন্তর্ভুক্ত করা হয়েছিল?
Common| 
Image| 
A| Sana Mir / সানা মীর (Sana Mir)
B| Nida Dar / নিদা দার (Nida Dar)
C| Diana Baig / ডায়ানা বেগ (Diana Baig)
D| Bismah Maroof / বিসমাহ মারুফ (Bismah Maroof)
Shift| 02/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 8.17
Topic| 
SubTopic| 
QuestionID| GACA-000941

QEN| Who inaugurated the football stadium at Police Complex, Chumoukedima near Dimapur, Nagaland, in January 2025?
QBN| ২০২৫ সালের জানুয়ারিতে নাগাল্যান্ডের দিমাপুরের কাছে চুমৌকেদিমা পুলিশ কমপ্লেক্সে ফুটবল স্টেডিয়ামের উদ্বোধন কে করেছিলেন?
Common| 
Image| 
A| Temjen Imna Along / তেমজেন ইমনা আলোং (Temjen Imna Along)
B| Conrad Sangma / কনরাড সাংমা (Conrad Sangma)
C| N. Biren Singh / এন বীরেন সিং (N. Biren Singh)
D| Neiphiu Rio / নেফিউ রিও (Neiphiu Rio)
Shift| 04/02/2026 9:00 AM - 10:30 AM
Correct| D
Difficulty| 5.22
Topic| 
SubTopic| 
QuestionID| GACA-000942

QEN| In July 2025, which of the following firms entered into a binding agreement to form a 50:50 domestic reinsurance joint venture to serve the insurance market in India?
QBN| ২০২৫ সালের জুলাই মাসে, ভারতের বীমা বাজারে পরিষেবা দেওয়ার জন্য ৫০:৫০ অভ্যন্তরীণ পুনঃবীমা যৌথ উদ্যোগ গঠনের জন্য কোন সংস্থা একটি চুক্তি স্বাক্ষর করেছে?
Common| 
Image| 
A| Allianz with Jio Financial Services / জিও ফাইন্যান্সিয়াল সার্ভিসেসের সাথে অ্যালিয়ান্স (Allianz with Jio Financial Services)
B| Lloyd’s with PayU / পেইউ-এর সাথে লয়েডস (Lloyd’s with PayU)
C| Munich Re with Paytm / পেটিএম-এর সাথে মিউনিখ রে (Munich Re with Paytm)
D| Swiss Re with Axis Bank / অ্যাক্সিস ব্যাংকের সাথে সুইস রে (Swiss Re with Axis Bank)
Shift| 29/12/2025 12:45 PM - 2:15 PM
Correct| A
Difficulty| 6.03
Topic| 
SubTopic| 
QuestionID| GACA-000943

QEN| The C40 World Mayors Summit of 3-5 November 2025 is scheduled for which city?
QBN| ৩-৫ নভেম্বর ২০২৫ তারিখে সি৪০ ওয়ার্ল্ড মেয়রস সামিট (C40 World Mayors Summit) কোন শহরে আয়োজনের কথা নির্ধারিত রয়েছে?
Common| 
Image| 
A| Rio de Janeiro, Brazil / রিও ডি জেনিরো, ব্রাজিল (Rio de Janeiro, Brazil)
B| New York, USA / নিউইয়র্ক, যুক্তরাষ্ট্র (New York, USA)
C| London, UK / লন্ডন, যুক্তরাজ্য (London, UK)
D| Seoul, South Korea / সিউল, দক্ষিণ কোরিয়া (Seoul, South Korea)
Shift| 04/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 6.31
Topic| 
SubTopic| 
QuestionID| GACA-000944

QEN| In late November 2025, which cyclonic storm prompted the IMD to issue warnings for north Tamil Nadu, Puducherry, and adjoining south Andhra Pradesh, and made landfall around 30 November 2025?
QBN| ২০২৫ সালের নভেম্বরের শেষের দিকে, কোন ঘূর্ণিঝড়টির কারণে আবহাওয়া দপ্তর (IMD) উত্তর তামিলনাড়ু, পুদুচেরি এবং সংলগ্ন দক্ষিণ অন্ধ্রপ্রদেশের জন্য সতর্কতা জারি করেছিল এবং যা ৩০ নভেম্বর ২০২৫-এর কাছাকাছি স্থলভাগে আছড়ে পড়েছিল?
Common| 
Image| 
A| Cyclone Shakhti / সাইক্লোন শক্তি (Cyclone Shakhti)
B| Cyclone Montha / সাইক্লোন মন্থা (Cyclone Montha)
C| Cyclone Ditwah / সাইক্লোন দিতওয়াহ (Cyclone Ditwah)
D| Cyclone Senyar / সাইক্লোন সেনিয়ার (Cyclone Senyar)
Shift| 05/02/2026 9:00 AM - 10:30 AM
Correct| C
Difficulty| 5.37
Topic| 
SubTopic| 
QuestionID| GACA-000945

QEN| In April 2025, which of the following cities was hit by a sandstorm causing major flight disruptions?
QBN| ২০২৫ সালের এপ্রিলে, নিচের কোন শহরে বালুঝড় বা স্যান্ডস্টর্মের কারণে বিমান চলাচলে বড় ধরনের বিঘ্ন ঘটেছিল?
Common| 
Image| 
A| New Delhi, India / নতুন দিল্লি, ভারত (New Delhi, India)
B| Dubai, UAE / দুবাই, সংযুক্ত আরব আমিরাত (Dubai, UAE)
C| Beijing, China / বেইজিং, চীন (Beijing, China)
D| Basra, Iraq / বসরা, ইরাক (Basra, Iraq)
Shift| 05/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 6.06
Topic| 
SubTopic| 
QuestionID| GACA-000946

QEN| Published in May 2025, Pavan K Varma’s Echoes of Eternity explores themes from which of the following?
QBN| মে ২০২৫-এ প্রকাশিত পবন কে বর্মার 'ইকোস অফ ইটারনিটি' (Echoes of Eternity) বইটিতে নিচের কোন বিষয়ের ওপর আলোচনা করা হয়েছে?
Common| 
Image| 
A| Indian thought from Rigveda onward / ঋগ্বেদ থেকে শুরু করে ভারতীয় চিন্তাধারা (Indian thought from Rigveda onward)
B| Indian economy / ভারতীয় অর্থনীতি (Indian economy)
C| Fictional mythology / কাল্পনিক পৌরাণিক কাহিনী (Fictional mythology)
D| Political satire / রাজনৈতিক ব্যঙ্গ (Political satire)
Shift| 29/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 5.46
Topic| 
SubTopic| 
QuestionID| GACA-000947

QEN| What was the official theme for the National Technology Day, 2025?
QBN| জাতীয় প্রযুক্তি দিবস, ২০২৫-এর আনুষ্ঠানিক প্রতিপাদ্য বা থিম কী ছিল?
Common| 
Image| 
A| TANTRA – Tapasya for Advancing New Technology, Research & Acceleration / তন্ত্র – তপস্যা ফর অ্যাডভান্সিং নিউ টেকনোলজি, রিসার্চ অ্যান্ড অ্যাক্সিলারেশন (TANTRA – Tapasya for Advancing New Technology, Research & Acceleration)
B| YANTRA – Yugantar for Advancing New Technology, Research & Acceleration / যন্ত্র – যুগান্তর ফর অ্যাডভান্সিং নিউ টেকনোলজি, রিসার্চ অ্যান্ড অ্যাক্সিলারেশন (YANTRA – Yugantar for Advancing New Technology, Research & Acceleration)
C| PANTRA – Prapancha for Advancing New Technology, Research & Acceleration / পন্ত্র – প্রপঞ্চ ফর অ্যাডভান্সিং নিউ টেকনোলজি, রিসার্চ অ্যান্ড অ্যাক্সিলারেশন (PANTRA – Prapancha for Advancing New Technology, Research & Acceleration)
D| MANTRA – Manovikas for Advancing New Technology, Research & Acceleration / মন্ত্র – মনবিকাশ ফর অ্যাডভান্সিং নিউ টেকনোলজি, রিসার্চ অ্যান্ড অ্যাক্সিলারেশন (MANTRA – Manovikas for Advancing New Technology, Research & Acceleration)
Shift| 12/12/2025 12:45 PM - 2:15 PM
Correct| A
Difficulty| 6.26
Topic| 
SubTopic| 
QuestionID| GACA-000948

QEN| What key capability of the Vertically-Launched Short-Range Surface-to-Air Missile (VLSRSAM) was established during its March 2025 flight-test?
QBN| ভার্টিক্যালি-লঞ্চড শর্ট-রেঞ্জ সারফেস-টু-এয়ার মিসাইল (VLSRSAM)-এর মার্চ ২০২৫-এর উড্ডয়ন পরীক্ষার সময় কোন মূল সক্ষমতা প্রতিষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Underwater deployment capability / পানির নিচে মোতায়েন করার সক্ষমতা (Underwater deployment capability)
B| Long-range high-altitude interception / দূরপাল্লার উচ্চ-উচ্চতায় বাঁধা প্রদান (Long-range high-altitude interception)
C| Near-boundary low-altitude engagement / সীমানার কাছাকাছি কম-উচ্চতায় লক্ষ্যবস্তু ধ্বংসের সক্ষমতা (Near-boundary low-altitude engagement)
D| Mid-course ballistic target destruction / মাঝপথে ব্যালিস্টিক লক্ষ্যবস্তু ধ্বংসের সক্ষমতা (Mid-course ballistic target destruction)
Shift| 09/01/2026 12:45 PM - 2:15 PM
Correct| C
Difficulty| 7.86
Topic| 
SubTopic| 
QuestionID| GACA-000949

QEN| Which among the following technology-based methods of beneficiary registration under Poshan 2.0 was announced for implementation from 1 August 2025 during the Zonal Meeting at Kevadia, Gujarat, organised by the Ministry of Women and Child Development?
QBN| মহিলা ও শিশু বিকাশ মন্ত্রক দ্বারা আয়োজিত গুজরাটের কেভাদিয়ায় জোনাল মিটিং চলাকালীন ১ আগস্ট ২০২৫ থেকে বাস্তবায়নের জন্য পোষণ ২.০-এর অধীনে সুবিধাভোগী নিবন্ধনের নিচের কোন প্রযুক্তি-ভিত্তিক পদ্ধতির ঘোষণা করা হয়েছিল?
Common| 
Image| 
A| Quick Response Code Scanning Process / কুইক রেসপন্স কোড স্ক্যানিং প্রসেস (Quick Response Code Scanning Process)
B| Facial Recognition System / ফেসিয়াল রিকগনিশন সিস্টেম (Facial Recognition System)
C| One-Time Password Verification Method / ওয়ান-টাইম পাসওয়ার্ড ভেরিফিকেশন মেথড (One-Time Password Verification Method)
D| Biometric Authentication System / বায়োমেট্রিক অথেন্টিকেশন সিস্টেম (Biometric Authentication System)
Shift| 30/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 6.65
Topic| 
SubTopic| 
QuestionID| GACA-000950

QEN| Which of the following was hosted by IIT Mandi in June 2025, focusing on mental health applications?
QBN| মানসিক স্বাস্থ্যের প্রয়োগগুলির ওপর আলোকপাত করে ২০২৫ সালের জুনে আইআইটি মান্ডি (IIT Mandi) নিচের কোনটির আয়োজন করেছিল?
Common| 
Image| 
A| Brain Science Symposium / ব্রেন সায়েন্স সিম্পোজিয়াম (Brain Science Symposium)
B| Mental Health Innovation Forum / মানসিক স্বাস্থ্য উদ্ভাবন ফোরাম (Mental Health Innovation Forum)
C| Mind, Brain, and Consciousness Conference / মন, মস্তিষ্ক এবং চেতনা সম্মেলন (Mind, Brain, and Consciousness Conference)
D| Health and Mind Summit / স্বাস্থ্য এবং মন শীর্ষ সম্মেলন (Health and Mind Summit)
Shift| 19/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 6.67
Topic| 
SubTopic| 
QuestionID| GACA-000951

QEN| What major international goal does the High Seas Treaty aim to advance once in force?
QBN| হাই সিজ ট্রিটি (High Seas Treaty) কার্যকর হলে কোন প্রধান আন্তর্জাতিক লক্ষ্যকে এগিয়ে নেওয়ার চেষ্টা করবে?
Common| 
Image| 
A| Restrict commercial shipping lanes / বাণিজ্যিক জাহাজ চলাচলের রুট সীমিত করা (Restrict commercial shipping lanes)
B| Create marine protected areas / সামুদ্রিক সংরক্ষিত এলাকা তৈরি করা (Create marine protected areas)
C| Ban deep‑sea mining / গভীর সমুদ্রে খনন নিষিদ্ধ করা (Ban deep-sea mining)
D| Establish a global fisheries quota / একটি বৈশ্বিক মৎস্য কোটা স্থাপন করা (Establish a global fisheries quota)
Shift| 05/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 5.95
Topic| 
SubTopic| 
QuestionID| GACA-000952

QEN| In July 2025, the Ministry of Rural Development entered into an important partnership with the Life Insurance Corporation of India (LIC) to realise the Government of India’s ‘Insurance for All by _____'.
QBN| ভারত সরকারের '২০৪৭ সালের মধ্যে সবার জন্য বীমা' লক্ষ্য বাস্তবায়নে ২০২৫ সালের জুলাই মাসে গ্রামীণ উন্নয়ন মন্ত্রক লাইফ ইন্স্যুরেন্স কর্পোরেশন অফ ইন্ডিয়ার (LIC) সাথে একটি গুরুত্বপূর্ণ অংশীদারিত্বে প্রবেশ করেছে। এই লক্ষ্যের বছর কোনটি?
Common| 
Image| 
A| 2035 / ২০৩৫
B| 2040 / ২০৪০
C| 2047 / ২০৪৭
D| 2045 / ২০৪৫
Shift| 03/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 6.21
Topic| 
SubTopic| 
QuestionID| GACA-000953

QEN| Which among the following authorities invoked Stage-I of the Graded Response Action Plan (GRAP) in May 2025 due to poor air quality in Delhi NCR?
QBN| দিল্লির নিম্নমানের বাতাসের কারণে ২০২৫ সালের মে মাসে নিচের কোন কর্তৃপক্ষ গ্রেডেড রেসপন্স অ্যাকশন প্ল্যান (GRAP)-এর স্টেজ-১ প্রয়োগ করেছিল?
Common| 
Image| 
A| Central Pollution Control Board (CPCB) / কেন্দ্রীয় দূষণ নিয়ন্ত্রণ বোর্ড (Central Pollution Control Board - CPCB)
B| Ministry of Health and Family Welfare (MoHFW) / স্বাস্থ্য ও পরিবার কল্যাণ মন্ত্রক (Ministry of Health and Family Welfare - MoHFW)
C| Commission for Air Quality Management in National Capital Region and Adjoining Areas (CAQM) / জাতীয় রাজধানী অঞ্চল এবং সংলগ্ন এলাকায় বায়ু মান ব্যবস্থাপনা কমিশন (CAQM)
D| Delhi Pollution Control Committee (DPCC), National Capital Territory of Delhi / দিল্লি দূষণ নিয়ন্ত্রণ কমিটি (Delhi Pollution Control Committee - DPCC)
Shift| 03/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 9.22
Topic| 
SubTopic| 
QuestionID| GACA-000954

QEN| Which female footballer received the 'International Player of the Year' at the Women’s Football Awards, 2025?
QBN| উইমেনস ফুটবল অ্যাওয়ার্ডস, ২০২৫-এ কোন মহিলা ফুটবলার 'আন্তর্জাতিক বর্ষসেরা খেলোয়াড়' (International Player of the Year) পেয়েছেন?
Common| 
Image| 
A| Alexia Putellas / অ্যালেক্সিয়া পুটেলাস (Alexia Putellas)
B| Vivianne Miedema / ভিভিয়ান মিডমা (Vivianne Miedema)
C| Sam Kerr / স্যাম কার (Sam Kerr)
D| Ada Hegerberg / অ্যাডা হেগারবার্গ (Ada Hegerberg)
Shift| 02/02/2026 12:45 PM - 2:15 PM
Correct| C
Difficulty| 7.92
Topic| 
SubTopic| 
QuestionID| GACA-000955

QEN| Which of the following Indian states features the defence industrial corridor that attracted investment proposals worth ₹33,896 crore in 2025?
QBN| ভারতের নিচের কোন রাজ্যে ডিফেন্স ইন্ডাস্ট্রিয়াল করিডোর রয়েছে যা ২০২৫ সালে ₹৩৩,৮৯৬ কোটি মূল্যের বিনিয়োগ প্রস্তাব আকর্ষণ করেছিল?
Common| 
Image| 
A| Gujarat / গুজরাট (Gujarat)
B| Tamil Nadu / তামিলনাড়ু (Tamil Nadu)
C| Maharashtra / মহারাষ্ট্র (Maharashtra)
D| Uttar Pradesh / উত্তরপ্রদেশ (Uttar Pradesh)
Shift| 09/02/2026 4:30 PM - 6:00 PM
Correct| D
Difficulty| 7.74
Topic| 
SubTopic| 
QuestionID| GACA-000956

QEN| Which mobile application was introduced by the National Commission for Women in May 2025 to enhance women’s digital literacy and safety in advanced digital tools?
QBN| উন্নত ডিজিটাল টুলে মহিলাদের ডিজিটাল সাক্ষরতা ও সুরক্ষা বাড়াতে জাতীয় মহিলা কমিশন মে ২০২৫-এ কোন মোবাইল অ্যাপ্লিকেশন প্রবর্তন করেছে?
Common| 
Image| 
A| Yashoda Artificial Intelligence Learning App / যশোদা আর্টিফিশিয়াল ইন্টেলিজেন্স লার্নিং অ্যাপ (Yashoda Artificial Intelligence Learning App)
B| Digital Saathi for Women Empowerment / ডিজিটাল সাথী ফর উইমেন এমপাওয়ারমেন্ট (Digital Saathi for Women Empowerment)
C| Kavalan Safety and Support Platform / কাভালান সেফটি অ্যান্ড সাপোর্ট প্ল্যাটফর্ম (Kavalan Safety and Support Platform)
D| Kaaval Uthavi Emergency Assistance Tool / কাভাল উভাথি ইমার্জেন্সি অ্যাসিস্ট্যান্স টুল (Kaaval Uthavi Emergency Assistance Tool)
Shift| 24/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 5.78
Topic| 
SubTopic| 
QuestionID| GACA-000957

QEN| Which of the following states has become the first in India to use face recognition linked to Aadhaar for ration delivery in July 2025?
QBN| ২০২৫ সালের জুলাই মাসে রেশন বিতরণের জন্য আধারের সাথে সংযুক্ত ফেস রিকগনিশন ব্যবহারকারী ভারতের প্রথম রাজ্য কোনটি হয়েছে?
Common| 
Image| 
A| Uttarakhand / উত্তরাখণ্ড (Uttarakhand)
B| Haryana / হরিয়ানা (Haryana)
C| Himachal Pradesh / হিমাচল প্রদেশ (Himachal Pradesh)
D| Punjab / পাঞ্জাব (Punjab)
Shift| 15/12/2025 12:45 PM - 2:15 PM
Correct| A
Difficulty| 8.28
Topic| 
SubTopic| 
QuestionID| GACA-000958

QEN| Who was named Sportsperson of the Year with a Disability at the 2025 Laureus Awards?
QBN| ২০২৫ সালের লরিয়াস অ্যাওয়ার্ডসে কে স্পোর্টসপার্সন অফ দ্য ইয়ার উইথ এ ডিসেবিলিটি হিসেবে মনোনীত হয়েছেন?
Common| 
Image| 
A| Liu Yaxin / লিউ ইয়াক্সিন (Liu Yaxin)
B| Ellie Simmonds / এলি সিমন্ডস (Ellie Simmonds)
C| Sophie Pascoe / সোফি পাসকো (Sophie Pascoe)
D| Jiang Yuyan / জিয়াং ইউয়ান (Jiang Yuyan)
Shift| 29/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 5.74
Topic| 
SubTopic| 
QuestionID| GACA-000959

QEN| Which startup was selected in April 2025 to build India’s first sovereign Indic LLM under the IndiaAI Mission?
QBN| ইন্ডিয়াএআই মিশনের (IndiaAI Mission) অধীনে ভারতের প্রথম সার্বভৌম ইন্ডিকেটিভ এলএলএম (LLM) তৈরির জন্য ২০২৫ সালের এপ্রিলে কোন স্টার্টআপটি নির্বাচিত হয়েছিল?
Common| 
Image| 
A| AI4 Bharat / এ.আই.৪ ভারত (AI4 Bharat)
B| Sarvam AI / সারভাম এ.আই. (Sarvam AI)
C| People+AI / পিপল+এ.আই. (People+AI)
D| Wadhwani AI / ওয়াধওয়ানি এ.আই. (Wadhwani AI)
Shift| 27/11/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 6.71
Topic| 
SubTopic| 
QuestionID| GACA-000960

QEN| What is India's Sustainable Development Goals (SDG) Index score as per the SDG Index released in June 2025?
QBN| জুন ২০২৫-এ প্রকাশিত এসডিজি ইনডেক্স অনুসারে ভারতের টেকসই উন্নয়ন লক্ষ্যমাত্রা (SDG) ইনডেক্স স্কোর কত?
Common| 
Image| 
A| 67 / ৬৭
B| 53 / ৫৩
C| 72 / ৭২
D| 58 / ৫৮
Shift| 11/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 9.45
Topic| 
SubTopic| 
QuestionID| GACA-000961

QEN| In June 2025, Karnataka raised the housing reservation quota for religious minorities from 10% to what percentage?
QBN| ২০২৫ সালের জুনে, কর্ণাটক ধর্মীয় সংখ্যালঘুদের জন্য আবাসন সংরক্ষণ কোটা ১০% থেকে বাড়িয়ে কত শতাংশ করেছে?
Common| 
Image| 
A| 12% / ১২%
B| 20% / ২০%
C| 15% / ১৫%
D| 18% / ১৮%
Shift| 04/02/2026 9:00 AM - 10:30 AM
Correct| C
Difficulty| 7.88
Topic| 
SubTopic| 
QuestionID| GACA-000962

QEN| The Immigration and Foreigners Act, 2025 introduces which major reform for foreign visitors?
QBN| ইমিগ্রেশন অ্যান্ড ফরেনার্স অ্যাক্ট, ২০২৫ বিদেশি দর্শকদের জন্য কোন বড় সংস্কার উপস্থাপন করে?
Common| 
Image| 
A| Automatic 10-year visas / স্বয়ংক্রিয় ১০ বছরের ভিসা প্রদান (Automatic 10-year visas)
B| Waiver of travel documents for select nations / নির্বাচিত দেশগুলির জন্য ভ্রমণ নথি মওকুফ (Waiver of travel documents for select nations)
C| Exemptions from exit checks / এক্সিট চেক থেকে অব্যাহতি (Exemptions from exit checks)
D| Real-time monitoring and scrutiny / রিয়েল-টাইম তদারকি ও নজরদারি (Real-time monitoring and scrutiny)
Shift| 10/02/2026 4:30 PM - 6:00 PM
Correct| D
Difficulty| 7.51
Topic| 
SubTopic| 
QuestionID| GACA-000963

QEN| What is the name of India's automated Air Defence Control and Reporting System, designed to detect, track, and neutralise enemy aircraft, drones, and missiles in May 2025?
QBN| মে ২০২৫-এ শত্রু বিমান, ড্রোন এবং ক্ষেপণাস্ত্র সনাক্ত, ট্র্যাক এবং নিষ্ক্রিয় করার জন্য ডিজাইন করা ভারতের স্বয়ংক্রিয় এয়ার ডিফেন্স কন্ট্রোল অ্যান্ড রিপোর্টিং সিস্টেমের নাম কী?
Common| 
Image| 
A| Akashbhed / আকাশভেদ (Akashbhed)
B| Naag / নাগ (Naag)
C| Agnidhar / অগ্নিধার (Agnidhar)
D| Akashteer / আকাশতীর (Akashteer)
Shift| 15/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 8.08
Topic| 
SubTopic| 
QuestionID| GACA-000964

QEN| In 2025, which of the following states emerged as the national leader in mangrove afforestation, covering 19020 hectares in just two years under the Centre’s ‘MISHTI’ scheme, launched in 2023?
QBN| ২০২৫ সালে, কেন্দ্র সরকারের ২০২৩ সালে চালু হওয়া 'মিষ্টি' (MISHTI) প্রকল্পের অধীনে মাত্র দুই বছরে ১৯০২০ হেক্টর জমি কভার করে ম্যানগ্রোভ বনায়নে কোন রাজ্য জাতীয় নেতা হিসেবে আত্মপ্রকাশ করেছে?
Common| 
Image| 
A| Kerala / কেরালা (Kerala)
B| Uttar Pradesh / উত্তরপ্রদেশ (Uttar Pradesh)
C| Maharashtra / মহারাষ্ট্র (Maharashtra)
D| Gujarat / গুজরাট (Gujarat)
Shift| 08/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 8.79
Topic| 
SubTopic| 
QuestionID| GACA-000965

QEN| According to SBI’s January 2025 report, what was India’s rural poverty rate in FY24?
QBN| এসবিআই-এর জানুয়ারি ২০২৫ সালের রিপোর্ট অনুযায়ী, ২০২৪ অর্থবর্ষে ভারতের গ্রামীণ দারিদ্র্যের হার কত ছিল?
Common| 
Image| 
A| 4.86% / ৪.৮৬%
B| 5.7% / ৫.৭%
C| 4.09% / ৪.০৯%
D| 7.2% / ৭.২%
Shift| 21/12/2025 12:45 PM - 2:15 PM
Correct| A
Difficulty| 8.49
Topic| 
SubTopic| 
QuestionID| GACA-000966

QEN| Which of the following states launched a flood-hazard zonation atlas as part of new disaster tools in mid-June 2025?
QBN| ২০২৫ সালের জুনের মাঝামাঝি সময়ে নতুন দুর্যোগ ব্যবস্থাপনার অংশ হিসেবে নিচের কোন রাজ্য বন্যা-ঝুঁকি জোনেশন অ্যাটলাস চালু করেছে?
Common| 
Image| 
A| Bihar / বিহার (Bihar)
B| Kerala / কেরালা (Kerala)
C| Karnataka / কর্ণাটক (Karnataka)
D| Assam / আসাম (Assam)
Shift| 30/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 6.04
Topic| 
SubTopic| 
QuestionID| GACA-000967

QEN| In July 2025, the Union Environment ministry notified which of the following rules aimed at ensuring the remediation of chemically contaminated sites by those responsible for the contamination?
QBN| ২০২৫ সালের জুলাইয়ে, কেন্দ্রীয় পরিবেশ মন্ত্রক রাসায়নিকভাবে দূষিত স্থানগুলির প্রতিকার দূষণের জন্য দায়ীদের দ্বারা নিশ্চিত করার লক্ষ্যে নিচের কোন নিয়মগুলি জারি করেছে?
Common| 
Image| 
A| Comprehensive Environmental Response, Compensation, and Liability Rules, 2025 / কম্প্রিহেনসিভ এনভায়রনমেন্টাল রেসপন্স, কম্পেনসেশন, অ্যান্ড লায়াবিলিটি রুলস, ২০২৫ (Comprehensive Environmental Response, Compensation, and Liability Rules, 2025)
